route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
10499,1,Parx Casino to 54th-City,3,,,
10500,10,13th-Market to 63rd-Malvern,0,66CC33,000000,
10465,101,Media to 69th St Trans Center,0,66CC33,000000,
10467,102,Sharon Hill to 69th St Trans Center,0,66CC33,000000,
10468,103,Ardmore to 69th St TC,3,,,
10469,104,West Chester U to 69th St TC,3,,,
10470,105,Paoli to 69th St TC,3,,,
10471,106,Ardmore & Paoli to 69th St TC,3,,,
10472,107,Lawrence Park to 69th St TC,3,,,
10473,108,UPS & Airport to 69th St TC,3,,,
10474,109,Chester TC to 69th St TC,3,,,
10502,11,13th-Market to Darby Trans Cntr,0,66CC33,000000,
10475,110,Penn State U to 69th St TC,3,,,
10476,111,Chadds Ford to 69th St TC,3,,,
10477,112,DCCC to 69th St TC,3,,,
10478,113,Tri State Mall to 69th St TC,3,,,
10479,114,Granite Run Mall to Darby TC,3,,,
10480,115,DCCC to Airport,3,,,
10481,116,USPS Eastwick to 69th St TC,3,,,
10482,117,Penn State U to I95 Industrial Pk,3,,,
10483,118,Newtown Square to Chester TC,3,,,
10484,119,Cheyney U to Chester TC,3,,,
10503,12,3rd-Pine to 50th-Woodland,3,,,
10485,120,Cheyney U to 69th St TC,3,,,
10486,123,King of Prussia to 69th St TC,3,,,
10425,124,Chesterbrook to 13th & Market   ,3,,,
10487,125,Valley Forge to 13th-Market,3,,,
10488,126,Lawrence Park to 69th St TC,3,,,
10426,127,Trenton TC to Oxford Valley Mall,3,,,
10427,128,Neshaminy to Oxford Valley Mall,3,,,
10428,129,Frankford-Knights to Oxford Valley,3,,,
10504,13,13th-Market to Yeadon-Darby ,0,66CC33,000000,
10429,130,BCCC to Frankford & Knights,3,,,
10430,131,Audubon to Norristown TC,3,,,
10431,132,Telford to Montgomery Mall,3,,,
10432,133,Frankford & Knights to Bensalem,3,,,
10434,139,Limerick to King of Prussia,3,,,
10505,14,Oxford Vally/Neshaminy Malls to FTC,3,,,
10610,15,63rd-Girard to Richmond-Westmorelnd,0,66CC33,000000,
10435,150,Parx Casino to Plymouth Meeting,3,,,
10609,15B,Frankfrd-Girard to Rchmnd-Westmrlnd,3,66CC33,000000,
10507,16,Brd-Patt to Chelthm-Ogtz /F RK TC,3,,,
10508,17,Front-Mkt to 20-Johnston/Broad-Pat,3,,,
10509,18,Fox Chase to Cedarbrook Plaza,3,,,
10510,19,Torresdale Station to FTC,3,,,
10511,2,20-Johnston to Pulaski-Hntg Park   ,3,,,
10512,20,Franklin Mills Mall to FTC,3,,,
10436,201,Ft Wash Office Ctr to Fort Wash Sta,3,,,
10625,204,Eagleview to Paoli Station,3,,,
10626,205,Phoenixville to Paoli Station,3,,,
10437,206,Great Valley Corp Ctr to Paoli Sta,3,,,
10514,21,Penn's Landing to 69th St TC,3,,,
10516,22,Warminster/Willow Grove to OTC,3,,,
10517,23,Broad-Oregon to Chestnut Hill    ,3,,,
10613,24,Southampton/Rockledge to FTC ,3,,,
10519,25,FTC to Columbus Commons,3,,,
10520,26,FTC to Chelten Av Station,3,,,
10521,27,Broad-Carpenter to PlymouthMtgMall,3,,,
10522,28,Fern Rock TC to Torresdale-Cottman,3,,,
10523,29,Pier 70 to 33rd-Dickinson,3,,,
10524,3,33rd-Cecil B Moore to FTC,3,,,
10525,30,Amtrak 30th St Sta to 69th St TC,3,,,
10526,31,City Hall to 76th-City,3,,,
10627,310,Horsham Breeze        ,3,,,
10628,312,Cornwells Heights Park Lot Shuttle,3,,,
10527,32,Broad-Carpenter to Ridge-Lyceum,3,,,
