route_id,service_id,trip_id,trip_headsign,block_id,direction_id,shape_id
10088,1,3118744,"Byberry East Industrial Park",1006,0,132904
10088,1,3118745,"Decatur - Drummond",2152,0,132902
10088,1,3118746,"Byberry East Industrial Park",1001,0,132904
10088,1,3118747,"Parx Casino via Drummond - Decatur",2151,0,132901
10088,1,3118748,"Parx Casino via Drummond - Decatur",1151,0,132901
10088,1,3118749,"Parx Casino",2153,0,132900
10088,1,3118750,"Parx Casino",1007,0,132900
10088,1,3118751,"Parx Casino",2151,0,132900
10088,1,3118752,"Parx Casino via Drummond - Decatur",1470,0,132901
10088,1,3118753,"Parx Casino",2156,0,132900
10088,1,3118754,"Parx Casino",2157,0,132900
10088,1,3118755,"Parx Casino",1007,0,132900
10088,1,3118756,"Parx Casino",2412,0,132900
10088,1,3118757,"Parx Casino",1009,0,132900
10088,1,3118758,"Roosevelt - Pratt",1012,0,132903
10088,1,3118759,"Decatur - Drummond",2155,0,132902
10088,1,3118760,"Decatur - Drummond",2151,0,132907
10088,1,3118761,"Decatur - Drummond",1001,0,132907
10088,1,3118762,"Decatur - Drummond",1151,0,132902
10088,1,3118763,"Decatur - Drummond",2153,0,132906
10088,1,3118764,"Decatur - Drummond",1003,0,132907
10088,1,3118765,"Byberry East Industrial Park",2780,0,132904
10088,1,3118766,"Decatur - Drummond",1002,0,132905
10088,1,3118767,"Decatur - Drummond",1004,0,132906
10088,1,3118768,"Parx Casino via Drummond - Decatur",2781,0,132901
10088,1,3118769,"Decatur - Drummond",1005,0,132906
10088,1,3118770,"Decatur - Drummond",2154,0,132902
10088,1,3118771,"Parx Casino via Drummond - Decatur",2154,0,132901
10088,1,3118772,"54th - City",1484,1,132911
10088,1,3118773,"54th - City",1009,1,132911
10088,1,3118774,"54th - City via Drummond - Decatur",1470,1,132909
10088,1,3118775,"Wissahickon Transportation Ctr",1517,1,132913
10088,1,3118776,"54th - City",1012,1,132910
10088,1,3118777,"54th - City",2512,1,132910
10088,1,3118778,"54th - City",2157,1,132908
10088,1,3118779,"Wissahickon Transportation Ctr",2155,1,132914
10088,1,3118780,"Wissahickon Transportation Ctr",2558,1,132912
10088,1,3118781,"Wissahickon Transportation Ctr",1243,1,132912
10088,1,3118782,"54th - City via Drummond - Decatur",2156,1,132909
10088,1,3118783,"54th - City",2152,1,132911
10088,1,3118784,"54th - City",2151,1,132911
10088,1,3118785,"Wissahickon Transportation Ctr",1001,1,132914
10088,1,3118786,"54th - City",1151,1,132911
10088,1,3118787,"54th - City",2153,1,132911
10088,1,3118788,"54th - City",2781,1,132908
10088,1,3118789,"54th - City",2154,1,132911
10088,1,3118790,"54th - City",2152,1,132908
10088,1,3118791,"54th - City via Drummond - Decatur",2151,1,132909
10088,1,3118792,"54th - City via Drummond - Decatur",1470,1,132909
10088,1,3118793,"54th - City",2153,1,132908
10088,1,3118794,"54th - City",1007,1,132908
10088,1,3118795,"54th - City via Drummond - Decatur",2155,1,132909
10088,1,3118796,"54th - City",1002,1,132911
10088,1,3118797,"23rd - Venango",2412,1,132915
10088,1,3118798,"23rd - Venango",1010,1,132915
10088,1,3118799,"23rd - Venango",1011,1,132915
10088,1,3118800,"Wissahickon Transportation Ctr",1517,1,132913
10088,1,3118801,"54th - City",1014,1,132910
10088,1,3198132,"54th - City",1484,1,132911
10088,1,3199153,"23rd - Venango",2412,1,132915
10089,1,3118834,"13th-Market",9053,0,132920
10089,1,3118835,"13th-Market",9051,0,132920
10089,1,3118836,"13th-Market",9054,0,132920
10089,1,3118837,"13th-Market",9052,0,132920
10089,1,3118838,"13th-Market",9055,0,132920
10089,1,3118839,"13th-Market",9053,0,132920
10089,1,3118840,"13th-Market",9056,0,132920
10089,1,3118841,"13th-Market",9057,0,132920
10089,1,3118842,"13th-Market",9051,0,132920
10089,1,3118843,"13th-Market",9058,0,132920
